"","Month","Day","Year","Date","ObservationSite","Precipitation","pH","Ecoli"
"1",1,29,2013,2013-01-29,"North",NA,8.8,NA
"2",2,19,2013,2013-02-19,"North",NA,8.7,NA
"3",2,26,2013,2013-02-26,"North",NA,7.9,NA
"4",3,19,2013,2013-03-19,"North","0",8.6,NA
"5",3,26,2013,2013-03-26,"North",NA,8.7,NA
"6",5,7,2013,2013-05-07,"North",NA,8.4,NA
"7",5,14,2013,2013-05-14,"North",NA,8.5,NA
"8",8,2,2013,2013-08-02,"North",NA,8.1,1300
"9",8,2,2013,2013-08-02,"North",NA,8.1,8850
"10",8,10,2013,2013-08-10,"North",NA,8,1250
"11",8,16,2013,2013-08-16,"North",NA,8.2,1750
"12",9,3,2013,2013-09-03,"North","0",7.8,NA
"13",9,19,2013,2013-09-19,"North",NA,7.5,1050
"14",9,24,2013,2013-09-24,"North",NA,7.7,2300
"15",10,17,2013,2013-10-17,"North",NA,8.1,2850
"16",10,25,2013,2013-10-25,"North",NA,7.9,500
"17",11,2,2013,2013-11-02,"North",NA,8.1,3000
"18",11,7,2013,2013-11-07,"North",NA,8.1,270
"19",11,13,2013,2013-11-13,"North",NA,NA,NA
"20",11,16,2013,2013-11-16,"North",NA,8,900
"21",11,21,2013,2013-11-21,"North",NA,6.9,NA
"22",12,12,2013,2013-12-12,"North",NA,NA,NA
"23",1,14,2014,2014-01-14,"North",NA,NA,NA
"24",1,16,2014,2014-01-16,"North",NA,NA,NA
"25",2,18,2014,2014-02-18,"North",NA,8.4,NA
"26",2,27,2014,2014-02-27,"North",NA,8.4,NA
"27",4,1,2014,2014-04-01,"North",NA,8.4,NA
"28",4,2,2014,2014-04-02,"North",NA,7.5,NA
"29",4,3,2014,2014-04-03,"North",NA,8.4,NA
"30",5,6,2014,2014-05-06,"North","0",8.3,NA
"31",5,8,2014,2014-05-08,"North","0",8.3,NA
"32",6,20,2014,2014-06-20,"North",NA,7.8,350
"33",7,2,2014,2014-07-02,"North",NA,7.5,NA
"34",7,9,2014,2014-07-09,"North",NA,7.6,700
"35",7,27,2014,2014-07-27,"North",NA,7.8,900
"36",8,7,2014,2014-08-07,"North",NA,7.9,4000
"37",8,21,2014,2014-08-21,"North",NA,7.9,NA
"38",8,22,2014,2014-08-22,"North",NA,7.4,800
"39",9,5,2014,2014-09-05,"North",NA,7.8,500
"40",9,13,2014,2014-09-13,"North",NA,8,100
"41",9,19,2014,2014-09-19,"North",NA,8.3,100
"42",9,25,2014,2014-09-25,"North",NA,8.2,NA
"43",10,5,2014,2014-10-05,"North",NA,8.2,2000
"44",10,12,2014,2014-10-12,"North",NA,8,1400
"45",10,19,2014,2014-10-19,"North",NA,7.8,100
"46",10,26,2014,2014-10-26,"North",NA,8.1,300
"47",10,26,2014,2014-10-26,"North",NA,8.1,200
"48",11,2,2014,2014-11-02,"North",NA,8.2,400
"49",11,2,2014,2014-11-02,"North",NA,8.2,500
"50",11,4,2014,2014-11-04,"North","0",8.05,NA
"51",11,6,2014,2014-11-06,"North",NA,8.25,NA
"52",12,3,2014,2014-12-03,"North","0",8.2,NA
"53",12,9,2014,2014-12-09,"North",NA,8.4,NA
"54",12,11,2014,2014-12-11,"North",NA,8.6,NA
"55",1,14,2015,2015-01-14,"North","0",8.8,NA
"56",1,15,2015,2015-01-15,"North",NA,8.6,NA
"57",2,24,2015,2015-02-24,"North",NA,7.55,NA
"58",3,26,2015,2015-03-26,"North","0",8.3,NA
"59",3,27,2015,2015-03-27,"North","0",8.2,NA
"60",4,21,2015,2015-04-21,"North",NA,8.4,NA
"61",4,28,2015,2015-04-28,"North",NA,8.5,NA
"62",4,30,2015,2015-04-30,"North",NA,8.6,NA
"63",5,13,2015,2015-05-13,"North","0",7.8,NA
"64",5,13,2015,2015-05-13,"North","0",8.3,NA
"65",5,13,2015,2015-05-13,"North",NA,7.9,NA
"66",5,30,2015,2015-05-30,"North",NA,8.1,900
"67",7,12,2015,2015-07-12,"North",NA,7.9,1100
"68",9,5,2015,2015-09-05,"North","0",7.6,NA
"69",9,8,2015,2015-09-08,"North","-",8,NA
"70",9,9,2015,2015-09-09,"North","-",NA,NA
"71",9,16,2015,2015-09-16,"North","-",7.8,NA
"72",9,23,2015,2015-09-23,"North","-",8,NA
"73",9,29,2015,2015-09-29,"North","-",8.1,NA
"74",10,1,2015,2015-10-01,"North","-",8,NA
"75",10,1,2015,2015-10-01,"North","-",7.8,NA
"76",11,3,2015,2015-11-03,"North","0",8,NA
"77",2,16,2016,2016-02-16,"North","0",NA,NA
"78",2,18,2016,2016-02-18,"North","-",NA,NA
"79",3,1,2016,2016-03-01,"North","0",9.4,NA
"80",3,3,2016,2016-03-03,"North","-",8.2,NA
"81",3,11,2016,2016-03-11,"North","-",7.7,NA
"82",3,29,2016,2016-03-29,"North","0",8.8,NA
"83",3,29,2016,2016-03-29,"North",NA,NA,400
"84",3,31,2016,2016-03-31,"North","0",8.6,NA
"85",4,14,2016,2016-04-14,"North","0",8.1,NA
"86",4,14,2016,2016-04-14,"North",NA,8.4,100
"87",4,21,2016,2016-04-21,"North",NA,8.1,1800
"88",4,26,2016,2016-04-26,"North",NA,8.5,300
"89",5,3,2016,2016-05-03,"North","-",8.1,NA
"90",5,3,2016,2016-05-03,"North",NA,8.3,300
"91",5,5,2016,2016-05-05,"North","0",8.1,NA
"92",5,10,2016,2016-05-10,"North",NA,7.6,NA
"93",5,11,2016,2016-05-11,"North","-",7.8,NA
"94",5,17,2016,2016-05-17,"North","-",NA,NA
